Unnamed: 0,full_text,sumy_LSA,sumy_TextRank,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
66,"Привет :) Меня зовут Марина я руководитель отдела по подбору персонала колл-центра IP-call. На данный момент мы в поиске  оператора Колл-центра.   Мы являемся аутсорсинговым КЦ, который работает с cpa-сетями. У нас только горячие звонки. Мы работаем с самыми топовыми и востребованными товарами (мелкая электроника, товары для хобби, детские товары (игрушки), декоративная и уходовая косметика и т д).  Что мы тебе предлагаем:  
 
 полностью удаленная работа (регион и страна проживания не важны); 
 7 вариантов графиков на выбор (график фиксированный 2/2 с выбором дневной, вечерней или ночной смены); 
 еженедельные выплаты зар платы; 
 сдельная оплата за каждый подтвержденный заказ (прозрачная система, вы контролируете свой баланс в CRM); 
 бонус за эффективность до 100%; 
 средний доход опытного сотрудника 40000 руб., 
 бонус за приведенного друга до 7500 руб.; 
 карьерный рост (большинство менеджеров КЦ - это бывшие операторы). Проводим отбор в отделы: Набора и обучения, Контроля качества, Отдел продаж (Руководитель группы). 
 
 Как происходит оформление заказа (процесс работы):  
 
 Клиент оставил заявку на товар, система соединяет его с оператором КЦ; 
 Оператор консультирует клиента по товару (скрипт открывается автоматически по нужному товару в системе), помимо основного товара предлагает дополнительные (например, к монокуляру приобрести футляр); 
 Оператор фиксирует в карточке заказа данные клиента и доставки, после закрытия заказа, на баланс оператора в системе сразу начисляется сумма за него. 
 
 Мы сработаемся, если:  
 
 У тебя грамотная речь и хорошие коммуникативные навыки; 
 Любишь общаться с людьми, имеешь позитивный взгляд на жизнь; 
 У тебя есть ПК или ноутбук со стабильным интернетом, а также тихое помещение для работы. 
 
 Заинтересовало?   Откликайся на вакансию , мы свяжемся в течение 2 рабочих дней и пришлем ссылку на анкету. После заполнения анкеты, пришлем подробную информацию о работе, ответим на возникшие вопросы и запишем на обучение. Удачи! ", Меня зовут Марина я руководитель отдела по подбору персонала колл-центра IP-call. на баланс оператора в системе сразу начисляется сумма за него. мы свяжемся в течение 2 рабочих дней и пришлем ссылку на анкету., Оператор фиксирует в карточке заказа данные клиента и доставки. на баланс оператора в системе сразу начисляется сумма за него. мы свяжемся в течение 2 рабочих дней и пришлем ссылку на анкету.,"Я Марина, начальник отдела подготовки персонала для колл центра IP-call. На баланс операторов системы сразу вносится сумма, свяжусь через 2 дня и присылаем ссылку",
67," В семью из 4-х человек требуется домработница/помощница по дому с проживанием.     Уборка дома площадью 700 кв.м, деликатные поверхности, смена постельного белья, уход за гардеробом (сортировка белья, стирка, глажка (парогенератор), выведение пятен, ручная стирка, чистка обуви), поддержание чистоты и порядка в шкафах, своевременная чистка и уход за бытовой техникой, сезонное мытье окон.     Приготовление еды по необходимости (домашняя кухня, диетическое питание), сервировка стола и подача блюд. Поддержание чистоты в холодильниках, контроль за сроками годности продуктов.     Уход за домашними животными (кошки), разовые поручения.     График работы - 6/1 (5/2 по договоренности)     Оплата - 100 000 рублей в месяц.     Проживание в отдельной комнате для персонала, покупка продуктов питания за счет работодателя.     Требования к кандидатам: опыт работы помощницей по хозяйству/домработницей с проживанием в семье, готовность работать в команде, социально уравновешенная, активная, подвижная, опрятный внешний вид, без вредных привычек. Наличие медицинской книжки и/или согласие пройти медицинское обследование по просьбе работодателя.     Прямой работодатель, подробности по телефону. ", В семью из 4-х человек требуется домработница/помощница по дому с проживанием. своевременная чистка и уход за бытовой техникой. опыт работы помощницей по хозяйству/домработницей с проживанием в семье., В семью из 4-х человек требуется домработница/помощница по дому с проживанием. своевременная чистка и уход за бытовой техникой. опыт работы помощницей по хозяйству/домработницей с проживанием в семье.,"Для семьи из 4 человек требуются помощник/помощник в доме с жильем. своевременное обслуживание и обслуживание бытовой техники, опыт работать помощником/помощником в доме с жильем в","Для семьи из 4 человек требуются помощник/помощник в доме с жильем. своевременное обслуживание и обслуживание бытовой техники, опыт работать помощником/помощником в доме с жильем в"
68," АНО ДООЦ Алые паруса - прямой работодатель!       Обязанности:  
 
 Изготовление продукции хлебобулочного ассортимента в соответствии с утверждённым меню. Раздача. 
 
 Требования:  
 
 Среднее профессиональное (в т.ч. начальное профессиональное 
 Наличие медицинской книжки 
 
 Условия:  
 
 на постоянной основе 
 сменный график работы 
 адрес работодателя:   р-н Тюменский, с Червишево, 24 км Червишевского тракта 
 ежедневная развозка 
 ждем Ваши резюме 
 ", АНО ДООЦ Алые паруса. Изготовление продукции хлебобулочного ассортимента в соответствии с утверждённым меню. на постоянной основе., Изготовление продукции хлебобулочного ассортимента в соответствии с утверждённым меню. в т.ч. начальное профессиональное. адрес работодателя.,,
69,"  Обособленное подразделение ООО ""ТрансСтройКомплект"" - прямой работодатель! Организация занимается услугами грузового автотранспорта, строительство лежневых дорог!   
  
 Обязанности:  
  
 
 Формирование полной и достоверной информации о порядке формирования данных о величине доходов и расходов организации, определяющих размер налоговой базы отчетного налогового периода, 
 Осуществление ведения налоговых регистров, расчет налогов, подготовки и сдач налоговой и статистической отчетности, составление реестров начислений и уплаты налогов и сборов в бюджет для сверки с налоговыми органами, прохождение камеральных и выездных проверок 
 
 Требования:   
 
 необходим опыт работы в транспортных предприятиях, знание организации грузоперевозок 
 высшее профильное образование 
   
 
 Условия:   
 
 оформление согласно трудовому законодательству РФ 
 Пятидневная рабочая неделя с 8-00 до 17-15 
 оклад 
 адрес работодателя: г Тюмень, ул 50 лет Октября, д. 62а, корп. 3 (Остановка ""Школа №7"") 
 дружный коллектив, комфортные условия труда 
 ждем Ваши резюме 
   
 ", Формирование полной и достоверной информации о порядке формирования данных о величине доходов и расходов организации. составление реестров начислений и уплаты налогов и сборов в бюджет для сверки с налоговыми органами. необходим опыт работы в транспортных предприятиях., Формирование полной и достоверной информации о порядке формирования данных о величине доходов и расходов организации. подготовки и сдач налоговой и статистической отчетности. составление реестров начислений и уплаты налогов и сборов в бюджет для сверки с налоговыми органами.,"Формирование полноценной и правдоподобной информации по порядку формирования сведений о доходах и затратах организации, составление справок о начислении и уплате налогов в бюджет, сверка с налог",Формирование полноценной и правдоподобной информации по порядку формирования сведений о доходах и затратах организации; подготовка и сопровождение налоговой отчетности и налоговой отчетности; составление справок
70," В ООО  Урайское управление технологического транспорта  требуются водитель категории С (1-3 класса)       Обязанности:  
 
   управление транспортом 
 
 Требования:  
 
 водительское удостоверение кат С (1-3 класс) 
 опыт вождения 
 
 Условия:     
 
 Вахта 15х15 и 30х30 дней 
 Полный соцпакет. 
 Проживание за счет работодателя в общежитии. 
 Обеспечение спецодеждой. 
 Стабильная выплата зарплаты. 
 Официальное трудоустройство. 
 Компенсация проезда к месту работы и обратно. 
 Материальная помощь к отпуску. 
 Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.   
 ", Проживание за счет работодателя в общежитии. Компенсация проезда к месту работы и обратно. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Урайское управление технологического транспорта. Компенсация проезда к месту работы и обратно. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.,,
71,"  Тюменская домостроительная компания - прямой работодатель!   
  
 Обязанности:  
 
 Обслуживание покупателей: нарезка, взвешивание и упаковка продовольственных товаров, подсчет стоимости покупки, проверка реквизитов чека, выдача покупки; 
 Осуществление подготовки товаров к продаже: проверки наименований, количества, сортности, цены, состояния упаковки и правильности маркировки, распаковки, осмотра внешнего вида; 
 Контроль своевременного пополнения рабочего запаса товаров, их сохранности; 
    
 
 Требования:  
  
 
 Среднее профессиональное (в т.ч. начальное профессиональное) 
 Наличие медицинской книжки. 
 НПО с присвоением квалификации ""Продавец"", ""Бухгалтер"" 
 
  
  Условия:    
 
 На постоянной основе 
 Пятидневная рабочая неделя, с 08:00 до 17:00; 
 Своевременная официальная заработная плата; 
 Оформление согласно ТК РФ 
 Адрес работодателя: г Тюмень, ул Республики, д. 253 
 Комфортные условия труда 
 Ждем Ваши резюме  
 ", Осуществление подготовки товаров к продаже. состояния упаковки и правильности маркировки. Контроль своевременного пополнения рабочего запаса товаров., взвешивание и упаковка продовольственных товаров. Контроль своевременного пополнения рабочего запаса товаров. Комфортные условия труда.,,
72," ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ИНДУСТРИАЛЬНЫЙ УНИВЕРСИТЕТ"" - прямой работодатель! 
 Обязанности:  
  
 
 Сопровождение реализации программ академической мобильности студентов Университета. 
 Взаимодействие с международными  фондами, стипендиальными программами,  грантодателями. 
 Сопровождение международных программ повышения квалификации и стажировок ППС Университета. 
 Взаимодействие с зарубежными университетами в части реализации академических обменов ППС. 
 Сопровождение участия подразделений вуза в международных программах и проектах. 
 Сопровождение проведения международных мероприятий и визитов иностранных делегаций в Университет. 
 Обеспечение информирования подразделений о программах международного сотрудничества.​  
 
 Требования:    
 
 Требуемый опыт работы: более 3х лет 
 Высшее образование; 
 Приветствуется опыт работы в реализации международных проектов и программ, 
 Знание иностранных языков, навык деловой переписки на иностранном языке; 
 Обязательно: английский язык   свободное владение, преимущество - владение китайским языком 
 Уверенное владение ПК, программами MS Office; 
 Опыт межкультурной коммуникации, обучение за рубежом; 
 Опыт работы: от 3 лет 
 Образование: Высшее 
 Английский - Свободный 
 
 Условия:    
 
 ​Официальное трудоустройство 
 Полный соц.пакет 
 ​На постоянной основе 
 ​Пятидневная рабочая неделя (8:45-18:00, ПТ - сокращенный день); 
 Возможность профессионального развития и карьерного роста; 
 Зарубежные командировки 
 Адрес работодателя: ул Володарского, д. 38 
 Комфортные условия труда 
 Дружный коллектив 
 Ждем Ваши резюме 
 ", Сопровождение международных программ повышения квалификации и стажировок ППС Университета. Взаимодействие с зарубежными университетами в части реализации академических обменов ППС. Сопровождение проведения международных мероприятий и визитов иностранных делегаций в Университет., Сопровождение международных программ повышения квалификации и стажировок ППС Университета. Сопровождение участия подразделений вуза в международных программах и проектах. Приветствуется опыт работы в реализации международных проектов и программ.,"Сопровождает международные программы по подготовке и обучения ППС в Университете. Содействие зарубежным университетам в области осуществления академических обмена ППС, Сопровождает международные мероприятия и посещения",Организация международной программы по подготовке и подготовке специалистов ППС университета. Организация участия отделений ВУЗов в Международной программе и Проектах. Рекомендации по работе
73,"  ГБУЗ ТО ""Областная клиническая психиатрическая больница"" (филиал №1) - прямой работодатель!  
  
 Обязанности:   
 
 Выполняет перечень работ и услуг для диагностики заболевания, оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. 
   
 
 Требования:    
 
 Высшее профильное образование 
 Знать правила и нормы по охране труда, технике пожарной безопасности. 
 
   Условия:   
  
 
 На постоянной основе 
 Официальное трудоустройство 
 Полный соцпакет 
 Пятидневная рабочая неделя 
 Оклад 
 Карьерный рост 
 Предоставление нового служебного благоустроенного жилья 
 Ждем ваши резюме! 
 ", Выполняет перечень работ и услуг для диагностики заболевания. оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Знать правила и нормы по охране труда., оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Официальное трудоустройство. Предоставление нового служебного благоустроенного жилья.,,
74," АО ""Завод ТРДМ"" - прямой работодатель!  
  
 Обязанности:  
  
 
 работа на ленточнопильных станках; 
 работа на пробивных станках; 
 работа на вертикально сверлильных станках.  
 
 Требования:  
 
  Среднее профессиональное (в т.ч. начальное профессиональное) 
  Средне-специальное образование, опыт работы от 1 года; умение читать чертежи 
 
 Условия:  
 
 официальное трудоустройство и социальный пакет согласно ТК РФ; 
 своевременная официальная заработная плата; 
 индексация заработной платы 2 раза в год; 
 предоставление льгот и компенсаций (единовременные выплаты при рождении ребенка, премии к юбилейным датам, материальная помощь), премия по итогам работы за сезон; 
 охраняемая стоянка для личного транспорта; 
 развозка транспортом предприятия (4 маршрута); 
 столовая на территории завода (частичная компенсация питания), спортивный и тренажерный зал. 
 на постоянной основе 
 пятидневная рабочая неделя 
 сдельная форма оплаты трудв 
 ", официальное трудоустройство и социальный пакет согласно ТК РФ. индексация заработной платы 2 раза в год. предоставление льгот и компенсаций. спортивный и тренажерный зал. на постоянной основе., работа на ленточнопильных станках. работа на пробивных станках. индексация заработной платы 2 раза в год. предоставление льгот и компенсаций.,,
75,"  
 ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАЛЬНИК"" - прямой работодатель!   
  
 Обязанности:  
 
 Выполняет:  продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках;   раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных  индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке 
 
 Требования:  
 
 Среднее профессиональное (в т.ч. начальное профессиональное) 
 Стрессоустойчивость, исполнительность, внимательность, дисциплинированность 
 
 Условия:  
 
 На постоянной основе 
 Официальное трудоустройство 
 Пятидневная рабочая неделя 
 Оклад 
 Адрес работодателя: г Ялуторовск, ул Л.Чайкиной, д. 50в 
 Комфортные условия труда 
 Ждем Ваши резюме 
 ", продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке., продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. Комфортные условия труда.,Продольно- поперечно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-,"Продольный и продольный раскрой брусков и брусков из твердого дерева на многопиловых и плоскопилочных станках, раскрой брусков и брусков из круглого дерева"
76,"    Индивидуальный предприниматель Ибрагимова Ирина Владимировна - прямой работодатель!        Обязанности:  
 
 выполнение операций по техническому обслуживанию и ремонту тракторов и спец. техники.  
 выявление и устранение неисправностей и деффектов, подбор необходимого инструмента, деталей и материалов 
 определение трудоемкости ремонта, соблюдения правил техники и безопасности, норм охраны труда и правил противопожарной безопасности  
 
 Требования:  
 
 опыт работы с диагностическим оборудованием 
 знание устройства и технологии ремонта тракторов и спецтехники, различных марок, 
 наличие удостоверения 
 
 Условия:  
 
  адрес работодателя:  р-н Тюменский, рп Винзили, ул Агротехническая (мкр Пышминская долина), д. 71/3  
 заработная плата 30 тыс рублей + премия 
 на постоянной основе 
 пятидневная рабочая неделя 
 сдельная форма оплаты труда 
 ждем Ваши резюме 
 ", Индивидуальный предприниматель Ибрагимова Ирина Владимировна. норм охраны труда и правил противопожарной безопасности. опыт работы с диагностическим оборудованием., выполнение операций по техническому обслуживанию и ремонту тракторов и спец. техники. выявление и устранение неисправностей и деффектов. знание устройства и технологии ремонта тракторов и спецтехники.,,"Выполнение работ по ремонту и эксплуатации тракторов, спецтехники, выявления и устранения неисправности и дефектов, знание оборудования и технологий технического обслуживания тракторов, спецтехники,"
77," Требуется стоматолог- терапевт, стоматолог-хирург, стоматолог общей практики  ", Требуется стоматолог. стоматолог-хирург. стоматолог общей практики, Требуется стоматолог. терапевт. стоматолог-хирург.,,
78," ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАЛЬНИК"" - прямой работодатель!  
  
 Обязанности:  
 
 Выполняет:  продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках;   раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных  индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке.  
 
 Требования:  
 
 Среднее профессиональное (в т.ч. начальное профессиональное) 
 Стрессоустойчивость, исполнительность, внимательность, дисциплинированность  
 
 Условия:  
 
 Официальное трудоустройство 
 Полный соцпакет 
 Пятидневная рабочая неделя с 8-00 до 17-00 
 Оклад 
 Адрес работодателя:  г Ялуторовск, ул Л.Чайкиной, д. 50в 
 Ждем Ваши резюме! 
 ", продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке. Пятидневная рабочая неделя с 8-00 до 17-00., продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. Пятидневная рабочая неделя с 8-00 до 17-00.,Продольно- поперечно-продольно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-,"Продольный и продольный раскрой брусков и брусков из твердого дерева на многопиловых и плоскопилочных станках, раскрой брусков и брусков из круглопилочных"
79,"  ГБУ ТО Объединение АВ и АС (автовокзал) - прямой работодатель!   
  
 Обязанности:  
 
 ​Оформляет и продает билеты, посадочные талоны, квитанции по оплате багажа и различных услуг, установленных сборов и других проездных и перевозочных документов пассажирам на автомобильном транспорте в соответствии с действующей технологией. 
    
 
 Требования:    
 
 нет требований  к стажу 
 Уверенный   пользователь компьютера 
 Среднее   профессиональное (в т.ч. начальное профессиональное)​ 
 ​Сертификат о прививке 
 
 Условия:   
 
 ​Оформление по ТК РФ 
 Тарийфная система оплаты труда 
  Адрес работодателя, г Тюмень, ул Пермякова, д. 9  
 ​Сменный график работы 2 через 2 по 11 часов (плавающий график), работа на Тюменском автовокзале 
 Ждем Ваши резюме  
 ", ГБУ ТО Объединение АВ и АС. квитанции по оплате багажа и различных услуг. установленных сборов и других проездных и перевозочных документов пассажирам на автомобильном транспорте в соответствии с действующей технологией., квитанции по оплате багажа и различных услуг. установленных сборов и других проездных и перевозочных документов пассажирам на автомобильном транспорте в соответствии с действующей технологией. Сменный график работы 2 через 2 по 11 часов.,"ГБУ ТС Объединение АВ/АС. Квитанции оплаты багажа, других услуг, установленные сборы и прочие проездно-перевозочные документы пассажиров на автотранспорте в","Квитанции на оплату багажа, других услуг, установленные сборы и прочие проездные и транспортные документы пассажиров на автотранспорте по действующему оборудованию."
80," В ООО  Урайское управление технологического транспорта  требуется заместитель начальника транспортного участка  
  
 Обязанности:  
 
 Осуществляет выполнение перевозок по договорным обязательствам, обеспечивает технически правильную эксплуатацию автомобилей, эффективное использование подвижного состава. Изучает грузопотоки, режимы работы, объемы перевозок и с учетом конкретных условий организует бригады водителей, исходя из плана перевозок, устанавливает им задания. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Обеспечивает контроль за работой водителей на линии, в случае необходимости обеспечивает оказание технической помощи. Участвует в составлении грузовых карт и маршрутных сетей.  
 Следит за своевременностью направления автомобилей на техническое обслуживание. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Проводит работу по предупреждению дорожно - транспортных происшествий, повышению уровня технических знаний, укреплению производственной и трудовой дисциплины работников. Участвует в расследовании причин аварий, поломок, повреждений, простоев, нарушений правил технической эксплуатации дорожного движения 
 Осуществляет производственный инструктаж водителей, контролирует соблюдение ими производственной и трудовой дисциплины, правил и норм охраны труда. 
 
 Требования:  
   
 
 высшее образование в сфере транспорта 
 опыт работы с персоналом 
 
 Условия:  
 
 Вахта 15х15 и 30х30 дней 
 Полный соцпакет. 
 Проживание за счет работодателя в общежитии. 
 Обеспечение спецодеждой. 
 Стабильная выплата зарплаты. 
 Официальное трудоустройство. 
 Компенсация проезда к месту работы и обратно. 
 Материальная помощь к отпуску. 
 Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.  
 ", объемы перевозок и с учетом конкретных условий организует бригады водителей. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.,"Объем перевозки и в зависимости от конкретных условиях организует группу водителей, осуществляет контроль технического состояния автомобиля и вывоз его на рейс в соответствии со штатом рейса","Контролирует техническое состояние автомобилей, выпускает их по линии в соответствии со установленным рейсовым графиком, принимает их в аренду в соответствии со штатом водителей и"
81,"    В ООО  Урайское управление технологического транспорта  требуется начальник транспортного участк    Обязанности:  
 
 Осуществляет выполнение перевозок по договорным обязательствам, обеспечивает технически правильную эксплуатацию автомобилей, эффективное использование подвижного состава. Изучает грузопотоки, режимы работы, объемы перевозок и с учетом конкретных условий организует бригады водителей, исходя из плана перевозок, устанавливает им задания. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Обеспечивает контроль за работой водителей на линии, в случае необходимости обеспечивает оказание технической помощи. Участвует в составлении грузовых карт и маршрутных сетей.  
 Следит за своевременностью направления автомобилей на техническое обслуживание. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Проводит работу по предупреждению дорожно - транспортных происшествий, повышению уровня технических знаний, укреплению производственной и трудовой дисциплины работников. Участвует в расследовании причин аварий, поломок, повреждений, простоев, нарушений правил технической эксплуатации дорожного движения 
 Осуществляет производственный инструктаж водителей, контролирует соблюдение ими производственной и трудовой дисциплины, правил и норм охраны труда. 
 
 Требования:     
 
 высшее образование в сфере транспорта 
 опыт работы с персоналом 
 
    Условия:  
 
 Вахта 15х15 и 30х30 дней 
 Полный соцпакет. 
 Проживание за счет работодателя в общежитии. 
 Обеспечение спецодеждой. 
 Стабильная выплата зарплаты. 
 Официальное трудоустройство. 
 Компенсация проезда к месту работы и обратно. 
 Материальная помощь к отпуску. 
 Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты. 
 ", объемы перевозок и с учетом конкретных условий организует бригады водителей. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.,"Объем перевозки и в зависимости от конкретных условиях организует группу водителей, осуществляет контроль технического состояния автомобиля и вывоз его на рейс в соответствии со штатом рейса","Контролирует техническое состояние автомобилей, выпускает их по линии в соответствии со установленным рейсовым графиком, принимает их в аренду в соответствии со штатом водителей и"
